,skill_id,skill_title,skill_type,skill_description,skill_description_combined
20,de48312539d98fd5e37b29cd02849fdc00a93e375e52396e920b9bb43afea3a0,computer vision technology,tsc,develop and deploy vision analytics algorithm and spatial sensing and/or reasoning systems,computer vision technology-develop and deploy vision analytics algorithm and spatial sensing and/or reasoning systems
21,11e79b04f43f4db894a21596bf0f3126406d782beb75649fb119f0de900b8f9b,attractions ride and equipment maintenance,tsc,manage operation and maintenance of attraction rides and equipment,attractions ride and equipment maintenance-manage operation and maintenance of attraction rides and equipment
22,e887dd971aa2ceb99aac12071705b032226449f7464454a78a9dcff06a21664f,technology transfer,tsc,"monitor, support and evaluate the organisation's technology transfer activities","technology transfer-monitor, support and evaluate the organisation's technology transfer activities"
23,e8551d9e90b4539cefbdb4c29dd07f91b4e85e78b7fc3e0c3da95e3f91de2531,perform rotating equipment fitting work,tsc,"on completion of the unit, the learner will learn to carry out basic maintenance and machinery repair works on rotating equipment in a process plant","perform rotating equipment fitting work-on completion of the unit, the learner will learn to carry out basic maintenance and machinery repair works on rotating equipment in a process plant"
24,ef73e8c4df40baadca02c318676d2d1b4d282a91c4987137352e9aae50505d63,technology road mapping,tsc,plan short-term and long-term goals with specific technology solutions to help meet those goals in order to make capital out of future market needs,technology road mapping-plan short-term and long-term goals with specific technology solutions to help meet those goals in order to make capital out of future market needs
25,c9516522a8e31d8bb8980dfea3d0775590f8e80a8d087daffd675d8b669a239e,commissioning and start-up management,tsc,"manage the commissioning and start-up of new or modified equipment, components and systems into operational modes","commissioning and start-up management-manage the commissioning and start-up of new or modified equipment, components and systems into operational modes"
26,71eea36d7bd5846b03cb5850d6350e8fd539a2a7a8bf2b7d9fd15cb67409b98f,equipment and systems testing,tsc,execute equipment and systems testing procedures to ensure continuity of operations and meet standards of performance,equipment and systems testing-execute equipment and systems testing procedures to ensure continuity of operations and meet standards of performance
27,55ada7e3af24b76638115191baf453d80c9ea765ed0a99b637d4dbd252c8109b,product marketing and branding,tsc,"develop and implement product marketing strategies by leading sales data collection, segmentation, market research, product marketing idea development and optimisation. implement product marketing strategies and recommend changes based on desired product and/or corporate positioning and branding","product marketing and branding-develop and implement product marketing strategies by leading sales data collection, segmentation, market research, product marketing idea development and optimisation. implement product marketing strategies and recommend changes based on desired product and/or corporate positioning and branding"
28,f21af56f2116ee665923524edb7f07d0679570007cdc884e326e0497a9f0a31a,threat and vulnerability management,tsc,manage cyber threats and system vulnerabilities to minimise cyber risks,threat and vulnerability management-manage cyber threats and system vulnerabilities to minimise cyber risks
29,d050d13ebe846fe542f6ecb41dedfede29e462884c8f3a47ebe17a6ce894308d,marine equipment and system maintenance,tsc,formulate and execute corrective and/or preventative maintenance activities for marine equipment and systems used on ships and rigs,marine equipment and system maintenance-formulate and execute corrective and/or preventative maintenance activities for marine equipment and systems used on ships and rigs
30,1ee00c8d438813edca1f1fc50f9638585754ce3df52989cea700e83f113d7569,apply teamwork in the workplace,tsc,work as a team and participate in team activities in their work area,apply teamwork in the workplace-work as a team and participate in team activities in their work area
31,cf7be5780bdec27f33f5fb2f1292b552df79499bf6000b4b6e0558d1c92d762b,electrostatic discharge control,tsc,implement precautionary measures required to avoid damage to sensitive electronic components as well as adopt proper components handling techniques and the use of appropriate personal grounding device,electrostatic discharge control-implement precautionary measures required to avoid damage to sensitive electronic components as well as adopt proper components handling techniques and the use of appropriate personal grounding device
32,22b7279c9799b266d641209802b43daf8d597264e049a0dd17117d0ecbb74a67,port equipment maintenance,tsc,implementation of the organisation's port equipment maintenance strategy pertaining to reduce downtime and enhance port operations,port equipment maintenance-implementation of the organisation's port equipment maintenance strategy pertaining to reduce downtime and enhance port operations
33,a11f22d80f534af6b9abda7d5499f1a13da756483e7d3faffec53d415a1017da,shipment load planning and palletisation / consolidation,tsc,optimise pallet load configuration and consolidation for shipments,shipment load planning and palletisation / consolidation-optimise pallet load configuration and consolidation for shipments
34,87c0eba708e008e687bc8e8818065a548eefc65c27c2026420154d4d47d5f578,human-robot collaboration,tsc,implement human-robot collaboration (hrc) applications to enhance the efficiency and effectiveness of work processes,human-robot collaboration-implement human-robot collaboration (hrc) applications to enhance the efficiency and effectiveness of work processes
35,59fdafbd7077f2da655073d5e6445b84e6d54c1c6c9517f27c8409ea6747e7a5,local exhaust ventilation system management,tsc,"apply a design and qualitative approach to assess the effectiveness, performance and compliance of the local exhaust ventilation systems","local exhaust ventilation system management-apply a design and qualitative approach to assess the effectiveness, performance and compliance of the local exhaust ventilation systems"
36,e6c014bea103608ea9a91004aa648c291f5747e24bb7f8e375c5060bc29d24a0,environment management in landscape operations,tsc,develop and execute plans to manage the adverse impact of landscape operations on the environment,environment management in landscape operations-develop and execute plans to manage the adverse impact of landscape operations on the environment
37,649d63d5d9d989cdbdaf42627fad3e0ea63138a9596dcdb8d0e05f8d79081c54,disability assessment and management,tsc,perform assessment and management of common neurological emergencies,disability assessment and management-perform assessment and management of common neurological emergencies
38,57fd272fa37acff32c951520fa904dc653b86ac9719d7eb81deb9a5f7285484e,acting for camera,tsc,perform  a scripted role for the screen,acting for camera-perform  a scripted role for the screen
39,d77dd851d44103ac968b3574694be54633f86bf377fbaf36fbb9cf0c7dcad509,perform work at height,tsc,perform work at height in construction and other industries.,perform work at height-perform work at height in construction and other industries.
40,74c638d9e3c9a6eb1cf915225cd1c803935185e31f9fd4fd7700fdb214917708,responsible ai and generative ai practices,tsc,integrate and ensure compliance of ethical principles in ai projects. drive framework creation for responsible ai development.,responsible ai and generative ai practices-integrate and ensure compliance of ethical principles in ai projects. drive framework creation for responsible ai development.
41,36933e4288a76785dd1a79a2ba9a22a149171894b88e35f0946f9addd39004df,learner profile analysis,tsc,assess learner demographics and learning styles to formulate learning design and delivery approaches,learner profile analysis-assess learner demographics and learning styles to formulate learning design and delivery approaches
42,6c2965a59b4ba0ef584691f3d624c8a7f881d1afe299b24b1a593502a88a628c,material handling equipment (mhe) handling,tsc,"operate mechanised material handling equipment including the movement, storage, control and protection of materials, goods and products","material handling equipment (mhe) handling-operate mechanised material handling equipment including the movement, storage, control and protection of materials, goods and products"
43,aabacbbc7f822e900e763064424c0d464430b728cf975db026256d5a51473095,data analytics system design,tsc,integrate the use of data analytics in the production environment for the identification of bottlenecks and system improvements,data analytics system design-integrate the use of data analytics in the production environment for the identification of bottlenecks and system improvements
44,bf5d27b37108968ecdcddd268c88941ecb3bd45657cd0fbfa26b2679a7911f8c,lookdev,tsc,"define and develop the final look of characters, environments, and effects to meet the creative vision","lookdev-define and develop the final look of characters, environments, and effects to meet the creative vision"
45,06bb68896f96ea228cc3ac9ba085db501c8745049f8f34c33f9e1db03b41963b,civil structure maintenance,tsc,implement preventive and corrective maintenance of civil structures,civil structure maintenance-implement preventive and corrective maintenance of civil structures
46,6bfeda126aa68ed642023fa9af3e479a8fa8c179b6f1d2731cf129d73ed520c9,quality systems,tsc,apply quality considerations and practices in port operations to satisfy customer expectations,quality systems-apply quality considerations and practices in port operations to satisfy customer expectations
47,eab7180c26835102b3b9be34b623f5a1cb7266d4c94d8b7737219186827abfda,decision making,ccs,choose a course of action from several alternatives developed through a structured process in order to achieve intended goals,decision making-choose a course of action from several alternatives developed through a structured process in order to achieve intended goals
48,70350d30396b9c40831048340ea782b64c8780484f60719f81a7e1b3995106b2,lighting operations,tsc,manage the set-up and operations of lighting equipment during productions,lighting operations-manage the set-up and operations of lighting equipment during productions
49,e249a0e6938feae51bd673c51d6c8ae740d3b2718e8701466dc69b8bb6069c77,procurement performance monitoring,tsc,"monitor procurement performance to cut costs, alleviate risks, and drive continuous process improvement by measuring and analysing vendor and process efficiency","procurement performance monitoring-monitor procurement performance to cut costs, alleviate risks, and drive continuous process improvement by measuring and analysing vendor and process efficiency"
